iter	Passed	Remaining
966	16977	9358
967	16997	9341
968	17012	9322
969	17030	9305
970	17046	9286
971	17063	9269
972	17079	9250
973	17097	9233
974	17113	9215
975	17131	9197
976	17147	9179
977	17164	9161
978	17182	9144
979	17198	9125
980	17216	9108
981	17233	9090
982	17251	9073
983	17268	9055
984	17284	9036
985	17301	9019
986	17318	9001
987	17334	8983
988	17352	8965
989	17370	8948
990	17388	8930
991	17404	8912
992	17421	8894
993	17437	8876
994	17454	8858
995	17472	8841
996	17488	8823
997	17504	8804
998	17521	8787
999	17539	8769
1000	17555	8751
1001	17572	8733
1002	17589	8715
1003	17605	8697
1004	17622	8679
1005	17640	8662
1006	17656	8643
1007	17673	8626
1008	17690	8608
1009	17707	8590
1010	17725	8573
1011	17740	8554
1012	17757	8537
1013	17776	8519
1014	17794	8502
1015	17814	8486
1016	17832	8468
1017	17850	8451
1018	17867	8433
1019	17883	8415
1020	17900	8398
1021	17917	8380
1022	17935	8362
1023	17951	8344
1024	17968	8326
1025	17985	8309
1026	18001	8290
1027	18019	8273
1028	18036	8255
1029	18053	8237
1030	18069	8219
1031	18086	8202
1032	18102	8183
1033	18119	8166
1034	18137	8148
1035	18155	8131
1036	18173	8113
1037	18188	8095
1038	18207	8078
1039	18223	8060
1040	18240	8042
1041	18256	8024
1042	18274	8007
1043	18290	7989
1044	18307	7971
1045	18324	7953
1046	18340	7935
1047	18357	7917
1048	18374	7899
1049	18393	7882
1050	18410	7865
1051	18426	7847
1052	18443	7829
1053	18460	7811
1054	18476	7793
1055	18493	7775
1056	18511	7758
1057	18529	7741
1058	18546	7723
1059	18563	7705
1060	18580	7688
1061	18597	7669
1062	18614	7652
1063	18633	7635
1064	18649	7617
1065	18666	7599
1066	18683	7581
1067	18700	7564
1068	18718	7547
1069	18734	7528
1070	18752	7511
1071	18768	7493
1072	18785	7475
1073	18802	7457
1074	18819	7440
1075	18835	7422
1076	18852	7404
1077	18868	7386
1078	18885	7368
1079	18902	7350
1080	18918	7333
1081	18936	7315
1082	18952	7297
1083	18969	7279
1084	18986	7262
1085	19003	7244
1086	19019	7226
1087	19036	7208
1088	19054	7191
1089	19070	7173
1090	19087	7155
1091	19104	7138
1092	19121	7120
1093	19138	7102
1094	19154	7084
1095	19171	7066
1096	19188	7049
1097	19205	7031
1098	19222	7013
1099	19240	6996
1100	19255	6978
1101	19273	6960
1102	19289	6942
1103	19306	6925
1104	19324	6908
1105	19341	6890
1106	19357	6872
1107	19374	6854
1108	19391	6836
1109	19406	6818
1110	19424	6801
1111	19442	6783
1112	19459	6766
1113	19475	6748
1114	19491	6730
1115	19509	6713
1116	19526	6695
1117	19543	6677
1118	19560	6659
1119	19577	6642
1120	19593	6624
1121	19610	6606
1122	19626	6588
1123	19643	6571
1124	19660	6553
1125	19677	6535
1126	19694	6518
1127	19711	6500
1128	19727	6482
1129	19743	6464
1130	19761	6447
1131	19778	6429
1132	19795	6412
1133	19813	6394
1134	19831	6377
1135	19847	6359
1136	19865	6342
1137	19881	6324
1138	19897	6306
1139	19915	6288
1140	19931	6271
1141	19949	6253
1142	19966	6236
1143	19982	6218
1144	19999	6200
1145	20015	6182
1146	20033	6165
1147	20050	6147
1148	20067	6130
1149	20084	6112
1150	20100	6094
1151	20117	6077
1152	20136	6060
1153	20152	6042
1154	20169	6024
1155	20186	6007
1156	20203	5989
1157	20219	5971
1158	20236	5953
1159	20254	5936
1160	20271	5919
1161	20288	5901
1162	20304	5883
1163	20322	5866
1164	20339	5848
1165	20356	5831
1166	20373	5813
1167	20389	5795
1168	20406	5777
1169	20423	5760
1170	20441	5743
1171	20456	5725
1172	20473	5707
1173	20490	5689
1174	20507	5672
1175	20522	5654
1176	20538	5636
1177	20555	5618
1178	20571	5601
1179	20589	5583
1180	20604	5565
1181	20620	5547
1182	20638	5530
1183	20655	5512
1184	20673	5495
1185	20690	5477
1186	20707	5460
1187	20723	5442
1188	20740	5425
1189	20759	5407
1190	20778	5390
1191	20794	5373
1192	20812	5355
1193	20828	5337
1194	20845	5320
1195	20864	5303
1196	20881	5285
1197	20897	5268
1198	20915	5250
1199	20932	5233
1200	20949	5215
1201	20966	5198
1202	20982	5180
1203	21000	5162
1204	21017	5145
1205	21035	5128
1206	21051	5110
1207	21069	5093
1208	21085	5075
1209	21103	5057
1210	21120	5040
1211	21136	5022
1212	21153	5004
1213	21170	4987
1214	21187	4969
1215	21204	4952
1216	21220	4934
1217	21236	4916
1218	21255	4899
1219	21272	4882
1220	21288	4864
1221	21304	4846
1222	21320	4828
1223	21337	4811
1224	21353	4793
1225	21370	4776
1226	21388	4758
1227	21406	4741
1228	21421	4723
1229	21438	4706
1230	21454	4688
1231	21470	4670
1232	21487	4653
1233	21504	4635
1234	21519	4617
1235	21535	4599
1236	21552	4582
1237	21569	4564
1238	21586	4547
1239	21602	4529
1240	21618	4511
1241	21636	4494
1242	21652	4476
1243	21669	4459
1244	21686	4441
1245	21702	4424
1246	21719	4406
1247	21737	4389
1248	21752	4371
1249	21770	4354
1250	21787	4336
1251	21805	4319
1252	21822	4301
1253	21840	4284
1254	21855	4266
1255	21874	4249
1256	21889	4231
1257	21907	4214
1258	21924	4196
1259	21941	4179
1260	21958	4161
1261	21974	4144
1262	21992	4126
1263	22009	4109
1264	22026	4091
1265	22043	4074
1266	22059	4056
1267	22076	4039
1268	22093	4021
1269	22110	4004
1270	22126	3986
1271	22143	3969
1272	22160	3951
1273	22178	3934
1274	22194	3916
1275	22210	3899
1276	22228	3881
1277	22244	3864
1278	22263	3846
1279	22279	3829
1280	22295	3811
1281	22311	3794
1282	22328	3776
1283	22344	3758
1284	22362	3741
1285	22378	3723
1286	22394	3706
1287	22413	3689
1288	22429	3671
1289	22446	3654
1290	22461	3636
1291	22477	3618
1292	22494	3601
1293	22511	3583
1294	22529	3566
1295	22545	3548
1296	22563	3531
1297	22579	3513
1298	22595	3496
1299	22612	3478
1300	22628	3461
1301	22645	3443
1302	22661	3426
1303	22676	3408
1304	22694	3391
1305	22712	3373
1306	22730	3356
1307	22746	3338
1308	22762	3321
1309	22779	3303
1310	22795	3286
1311	22813	3269
1312	22830	3251
1313	22845	3233
1314	22864	3216
1315	22881	3199
1316	22898	3181
1317	22916	3164
1318	22932	3146
1319	22949	3129
1320	22966	3112
1321	22980	3094
1322	22999	3076
1323	23015	3059
1324	23032	3041
1325	23049	3024
1326	23065	3007
1327	23082	2989
1328	23100	2972
1329	23118	2955
1330	23137	2937
1331	23154	2920
1332	23172	2903
1333	23190	2885
1334	23206	2868
1335	23224	2850
1336	23240	2833
1337	23256	2815
1338	23274	2798
1339	23291	2781
1340	23308	2763
1341	23325	2746
1342	23340	2728
1343	23358	2711
1344	23374	2693
1345	23391	2676
1346	23409	2658
1347	23426	2641
1348	23443	2624
1349	23460	2606
1350	23477	2589
1351	23495	2572
1352	23511	2554
1353	23526	2536
1354	23544	2519
1355	23561	2502
1356	23578	2484
1357	23594	2467
1358	23611	2449
1359	23628	2432
1360	23645	2414
1361	23662	2397
1362	23680	2380
1363	23696	2362
1364	23715	2345
1365	23731	2328
1366	23747	2310
1367	23764	2293
1368	23779	2275
1369	23795	2257
1370	23814	2240
1371	23829	2223
1372	23846	2205
1373	23863	2188
1374	23879	2170
1375	23897	2153
1376	23913	2136
1377	23930	2118
1378	23946	2101
1379	23963	2083
1380	23980	2066
